1,3001,6.75,8.44,10.13,466469.14504,5057067.1243
2,3002,5.89,7.36,8.84,457360.80298,5070654.0651
3,3006,1.46,1.82,2.18,458367.29932,5075525.7021
4,3008,3.36,4.2,5.04,464446.58482,5067475.4455
5,3012,2.49,3.11,3.73,461875.0787,5046430.6506
6,3016,7.89,9.87,11.84,472099.39165,5044532.8846
7,3018,7.69,9.62,11.54,458985.68591,5033119.2462
8,3019,7.19,8.99,10.79,453880.03626,5058773.2059
9,3021,1.06,1.33,1.6,463746.59461,5056614.787
10,3022,2.17,2.71,3.25,457024.24652,5067694.918
11,3023,5.52,6.91,8.29,475867.80907,5018179.9833
12,3024,7.57,9.47,11.36,458699.59655,5060623.5753
13,3025,7.86,9.82,11.78,468748.77429,5059930.7118
14,3026,2.48,3.1,3.72,457842.88085,5064441.1431
15,3027,7.04,8.8,10.56,461282.20632,5042304.895
16,3030,1.76,2.21,2.65,466912.71807,5041541.5946
17,3032,4.5,5.62,6.75,473850.03066,5040149.0316
18,3036,7.25,9.06,10.87,454699.16093,5043248.9589
19,3037,4.98,6.22,7.46,458991.70292,5030668.8422
20,3039,7.1,8.87,10.64,461166.84122,5037284.9291
21,3040,6.94,8.67,10.41,463005.20972,5025693.9844
22,3041,1.63,2.04,2.44,458378.23864,5027594.6762
23,3042,6.77,8.46,10.15,460503.39529,5039893.8916
24,3043,2.56,3.21,3.85,470498.76541,5062038.8052
25,3044,7.03,8.79,10.55,460868.97196,5049643.6911
26,3045,7.87,9.83,11.8,458950.25351,5050881.8889
27,3047,2.61,3.26,3.91,453526.82528,5056717.3786
28,3049,5.17,6.46,7.75,483575.37782,5027888.5133
29,3051,5.45,6.81,8.17,460382.9582,5071036.2688
30,3052,3.91,4.89,5.87,465786.31118,5062579.1039
31,3055,6.07,7.58,9.1,461747.81832,5054842.8247
32,3058,5.42,6.77,8.13,457533.19728,5057309.6913
33,3060,6.13,7.67,9.2,468713.20787,5055875.8227
34,3062,0.86,1.08,1.29,466864.84219,5064613.2523
35,3065,1.94,2.43,2.92,457701.83486,5045208.0775
36,3066,7.86,9.83,11.79,458575.19316,5054272.8637
37,3068,1.51,1.89,2.27,477534.51025,5036924.0803
38,3069,3.11,3.89,4.67,473442.2732,5026539.8587
39,3070,5.22,6.52,7.83,454155.87151,5063674.1402
40,3071,2.06,2.57,3.09,462422.4172,5062293.6956
41,3073,1.68,2.1,2.52,455155.14409,5049449.1661
42,3076,2,2.5,3,455550.01313,5066322.1538
43,3077,3.51,4.38,5.26,467749.87556,5024050.9054
44,3079,6.21,7.76,9.31,448971.22997,5059702.1691
45,3082,1.68,2.1,2.52,459582.26479,5067240.2467
46,3083,1.03,1.28,1.54,454760.04052,5038118.2791
47,3084,5.33,6.67,8,465893.29552,5074607.1588
48,3088,7.05,8.82,10.58,454327.56414,5060819.1108
49,3090,3.36,4.2,5.03,457952.80278,5038661.666
50,3091,2.26,2.83,3.39,471150.33893,5053044.6259
51,3093,3.41,4.27,5.12,463470.0256,5074904.4577
52,3095,2.51,3.13,3.76,463306.10194,5070284.7056
53,3097,3.14,3.92,4.71,468822.9858,5051981.1486
54,3098,2.43,3.04,3.65,456024.65705,5072731.6257
55,3100,7.23,9.03,10.84,466041.49339,5046326.8202
56,3103,4.12,5.15,6.18,462321.93172,5072918.0747
57,3104,7.79,9.74,11.69,472386.06706,5024115.7316
58,3106,0.96,1.2,1.44,469940.80509,5031855.8341
59,3108,5.8,7.25,8.7,472407.19707,5049331.7995
60,3109,4.14,5.17,6.2,463432.25366,5065757.3825
61,3112,4.73,5.92,7.1,454556.77546,5070880.6136
62,3114,4.06,5.07,6.09,461944.95197,5066077.7231
63,3115,5.3,6.63,7.95,452274.44434,5073187.921
64,3116,6.57,8.22,9.86,453719.36938,5075116.2267
65,3119,7.73,9.66,11.59,461721.07286,5071260.5003
66,3120,1.65,2.06,2.47,451532.46926,5067352.7839
67,3121,3.8,4.75,5.7,472451.22094,5054797.6926
68,3122,0.97,1.21,1.46,450911.256,5056848.3821
